date,time,temperature
2023-08-17,11:18:45,514.25
2023-08-17,11:19:00,535.3999999999996
2023-08-17,11:19:15,543.96
2023-08-17,11:19:30,545.3073170731709
2023-08-17,11:19:45,546.110638297872
2023-08-17,11:20:00,546.5999999999998
2023-08-17,11:20:15,546.769696969697
2023-08-17,11:20:30,546.6
2023-08-17,11:20:45,534.1878787878788
2023-08-17,11:21:00,495.8314285714287
2023-08-17,11:21:15,479.1000000000001
2023-08-17,11:21:30,520.2264705882353
2023-08-17,11:21:45,538.9212121212121
2023-08-17,11:22:00,543.8868421052632
2023-08-17,11:22:15,545.0441860465114
2023-08-17,11:22:30,545.8805555555556
2023-08-17,11:22:45,546.220454545455
2023-08-17,11:23:00,546.1421052631579
2023-08-17,11:23:15,545.6411764705881
2023-08-17,11:23:30,526.7314285714288
2023-08-17,11:23:45,492.9333333333334
2023-08-17,11:24:15,520.7066666666667
2023-08-17,11:24:30,538.1161290322582
2023-08-17,11:24:45,543.2000000000002
2023-08-17,11:25:00,543.7093023255813
2023-08-17,11:25:15,544.9096774193547
2023-08-17,11:25:30,545.1529411764703
2023-08-17,11:25:45,545.5031250000002
2023-08-17,11:26:00,545.1081081081079
2023-08-17,11:26:15,518.4000000000001
2023-08-17,11:26:30,488.492
2023-08-17,11:27:00,521.5333333333331
2023-08-17,11:27:15,538.9638888888887
2023-08-17,11:27:30,543.4205128205127
2023-08-17,11:27:45,544.2162790697673
2023-08-17,11:28:00,545.1333333333334
2023-08-17,11:28:15,545.7529411764705
2023-08-17,11:28:30,546.5000000000002
2023-08-17,11:28:45,545.9921052631577
2023-08-17,11:29:00,518.4083333333332
2023-08-17,11:29:15,489.20000000000005
2023-08-17,11:29:45,518.681081081081
2023-08-17,11:30:00,541.2315789473683
2023-08-17,11:30:15,543.9725000000001
2023-08-17,11:30:30,544.9236842105265
2023-08-17,11:30:45,545.2837209302323
2023-08-17,11:31:00,546.1916666666668
2023-08-17,11:31:15,546.2146341463414
2023-08-17,11:31:30,545.6333333333336
2023-08-17,11:31:45,517.995238095238
2023-08-17,11:32:00,492.2347826086956
2023-08-17,11:32:15,498.27142857142854
2023-08-17,11:32:30,527.3857142857142
2023-08-17,11:32:45,542.2125000000002
2023-08-17,11:33:00,543.7128205128206
2023-08-17,11:33:15,545.4066666666665
2023-08-17,11:33:30,545.5999999999999
2023-08-17,11:33:45,546.0459459459457
2023-08-17,11:34:00,545.8393939393939
2023-08-17,11:34:15,544.1750000000001
2023-08-17,11:34:30,512.1642857142857
2023-08-17,11:34:45,489.90000000000003
2023-08-17,11:35:00,508.05
2023-08-17,11:35:15,527.8055555555558
2023-08-17,11:35:30,542.4150000000001
2023-08-17,11:35:45,544.0849999999999
2023-08-17,11:36:00,544.8538461538465
2023-08-17,11:36:15,545.794017094016
2023-08-17,11:36:30,545.7490909090911
2023-08-17,11:36:45,545.5
2023-08-17,11:37:00,542.437142857143
2023-08-17,11:37:15,505.78780487804886
2023-08-17,11:37:30,485.95714285714274
2023-08-17,11:37:45,504.45
2023-08-17,11:38:00,531.5354838709678
2023-08-17,11:38:15,545.971875
2023-08-17,11:38:30,546.7575000000003
2023-08-17,11:38:45,547.4303030303031
2023-08-17,11:39:00,547.3969696969698
2023-08-17,11:39:15,547.7972972972974
2023-08-17,11:39:30,546.9783783783782
2023-08-17,11:39:45,543.5416666666665
2023-08-17,11:40:00,508.2948717948716
2023-08-17,11:40:15,484.05
2023-08-17,11:40:45,503.73
2023-08-17,11:41:00,526.0794871794873
2023-08-17,11:41:15,538.0849999999998
2023-08-17,11:41:30,541.6
2023-08-17,11:41:45,542.263888888889
2023-08-17,11:42:00,543.1951219512196
2023-08-17,11:42:15,543.3081081081082
2023-08-17,11:42:30,543.2790697674419
2023-08-17,11:42:45,540.4451612903225
2023-08-17,11:43:00,504.697142857143
2023-08-17,11:43:15,485.03999999999996
2023-08-17,11:43:30,513.475
2023-08-17,11:43:45,536.5953488372091
2023-08-17,11:44:00,545.4162162162162
2023-08-17,11:44:15,546.3102564102563
2023-08-17,11:44:30,546.6894736842107
2023-08-17,11:44:45,547.0785714285713
2023-08-17,11:45:00,546.707692307692
2023-08-17,11:45:15,546.5055555555556
2023-08-17,11:45:30,536.5275000000001
2023-08-17,11:45:45,500.61388888888865
2023-08-17,11:46:00,484.06666666666666
2023-08-17,11:46:15,518.7600000000001
2023-08-17,11:46:30,532.0156250000001
2023-08-17,11:46:45,544.3162162162162
2023-08-17,11:47:00,545.2069767441859
2023-08-17,11:47:15,546.0184210526317
