date,time,temperature
"2023-08-17","09:21:45","544.7437500000001"
"2023-08-17","09:22:00","545.1212121212122"
"2023-08-17","09:22:15","545.9133333333333"
"2023-08-17","09:22:30","547.0285714285715"
"2023-08-17","09:22:45","547.16"
"2023-08-17","09:23:00","547.1324999999999"
"2023-08-17","09:23:15","535.2375000000002"
"2023-08-17","09:23:30","503.3533333333333"
"2023-08-17","09:23:45","485.3428571428572"
"2023-08-17","09:24:00","522.9800000000001"
"2023-08-17","09:24:15","537.4756097560977"
"2023-08-17","09:24:30","544.3"
"2023-08-17","09:24:45","545.6733333333334"
"2023-08-17","09:25:00","545.8105263157895"
"2023-08-17","09:25:15","546.8975609756096"
"2023-08-17","09:25:30","547.5135135135137"
"2023-08-17","09:25:45","546.84375"
"2023-08-17","09:26:00","534.981081081081"
"2023-08-17","09:26:15","500.09743589743607"
"2023-08-17","09:26:30","482.9769230769232"
"2023-08-17","09:26:45","518.536842105263"
"2023-08-17","09:27:00","535.1333333333337"
"2023-08-17","09:27:15","544.0205882352941"
"2023-08-17","09:27:30","544.8249999999999"
"2023-08-17","09:27:45","545.8216216216214"
"2023-08-17","09:28:00","546.9272727272727"
"2023-08-17","09:28:15","547.0555555555557"
"2023-08-17","09:28:30","544.9833333333332"
"2023-08-17","09:28:45","534.7027027027026"
"2023-08-17","09:29:00","503.6387096774194"
"2023-08-17","09:29:15","483.67272727272723"
"2023-08-17","09:29:30","523.9095238095239"
"2023-08-17","09:29:45","537.1409090909092"
"2023-08-17","09:30:00","543.3444444444444"
"2023-08-17","09:30:15","544.6657894736841"
"2023-08-17","09:30:30","545.7121951219514"
"2023-08-17","09:30:45","546.7162790697676"
"2023-08-17","09:31:00","547.0952380952382"
"2023-08-17","09:31:15","546.4250000000001"
"2023-08-17","09:31:30","535.3526315789476"
"2023-08-17","09:31:45","500.42857142857116"
"2023-08-17","09:32:00","483.2181818181817"
"2023-08-17","09:32:15","526.1225"
"2023-08-17","09:32:30","542.3605263157897"
"2023-08-17","09:32:45","546.0424242424241"
"2023-08-17","09:33:00","546.8384615384614"
"2023-08-17","09:33:15","547.6290322580645"
"2023-08-17","09:33:30","548.036842105263"
"2023-08-17","09:33:45","548.0562500000001"
"2023-08-17","09:34:00","547.6823529411764"
"2023-08-17","09:34:15","531.1424999999997"
"2023-08-17","09:34:30","498.951724137931"
"2023-08-17","09:34:45","487.5"
"2023-08-17","09:35:00","523.9296296296296"
"2023-08-17","09:35:15","538.6384615384619"
"2023-08-17","09:35:30","542.3666666666668"
"2023-08-17","09:35:45","544.0647058823529"
"2023-08-17","09:36:00","545.3484848484849"
"2023-08-17","09:36:15","545.0333333333333"
"2023-08-17","09:36:30","545.4399999999998"
"2023-08-17","09:36:45","545.2684210526317"
"2023-08-17","09:37:00","527.115789473684"
"2023-08-17","09:37:15","493.5519999999999"
"2023-08-17","09:37:45","523.3846153846154"
"2023-08-17","09:38:00","539.4355555555557"
"2023-08-17","09:38:15","543.5488888888888"
"2023-08-17","09:38:30","543.7638888888889"
"2023-08-17","09:38:45","543.9133333333334"
"2023-08-17","09:39:00","544.0916666666667"
"2023-08-17","09:39:15","543.9878787878788"
"2023-08-17","09:39:30","542.5170731707318"
"2023-08-17","09:39:45","511.157894736842"
"2023-08-17","09:40:00","488.96666666666675"
"2023-08-17","09:40:15","510.9"
"2023-08-17","09:40:30","530.753125"
"2023-08-17","09:40:45","540.785294117647"
"2023-08-17","09:41:00","542.8558823529411"
"2023-08-17","09:41:15","543.4097560975608"
"2023-08-17","09:41:30","543.8974358974358"
"2023-08-17","09:41:45","544.515789473684"
"2023-08-17","09:42:00","544.1972972972972"
"2023-08-17","09:42:15","540.7028571428569"
"2023-08-17","09:42:30","511.05757575757593"
"2023-08-17","09:42:45","486.0333333333333"
"2023-08-17","09:43:00","518.4125"
"2023-08-17","09:43:15","535.6136363636363"
"2023-08-17","09:43:30","544.0303030303031"
"2023-08-17","09:43:45","545.8333333333333"
"2023-08-17","09:44:00","545.8586956521735"
"2023-08-17","09:44:15","545.6194444444444"
"2023-08-17","09:44:30","546.084375"
"2023-08-17","09:44:45","545.5000000000002"
"2023-08-17","09:45:00","538.4486486486488"
"2023-08-17","09:45:15","504.01818181818186"
"2023-08-17","09:45:30","484.31111111111113"
"2023-08-17","09:45:45","516.2000000000002"
"2023-08-17","09:46:00","533.4888888888888"
"2023-08-17","09:46:15","541.3289473684213"
"2023-08-17","09:46:30","542.2395348837206"
"2023-08-17","09:46:45","542.8317073170731"
"2023-08-17","09:47:00","544.1594594594594"
"2023-08-17","09:47:15","544.6976744186046"
"2023-08-17","09:47:30","544.3583333333335"
"2023-08-17","09:47:45","536.6799999999998"
"2023-08-17","09:48:00","501.0600000000001"
"2023-08-17","09:48:15","484.65"
"2023-08-17","09:48:45","495.95"
"2023-08-17","09:49:00","524.8411764705882"
"2023-08-17","09:49:15","541.1057142857143"
"2023-08-17","09:49:30","544.5441176470587"
"2023-08-17","09:49:45","545.925806451613"
"2023-08-17","09:50:00","546.1333333333332"
"2023-08-17","09:50:15","545.5516129032258"
"2023-08-17","09:50:30","545.6297297297299"
"2023-08-17","09:50:45","543.9416666666666"
"2023-08-17","09:51:00","513.8625"
"2023-08-17","09:51:15","486.8117647058823"
"2023-08-17","09:51:30","498"
"2023-08-17","09:51:45","527.6194444444444"
"2023-08-17","09:52:00","543.6552631578949"
"2023-08-17","09:52:15","545.6399999999999"
"2023-08-17","09:52:30","545.9000000000002"
"2023-08-17","09:52:45","546.4775000000001"
"2023-08-17","09:53:00","546.1923076923081"
"2023-08-17","09:53:15","546.8486486486485"
"2023-08-17","09:53:30","545.4709677419355"
"2023-08-17","09:53:45","518.4382352941177"
"2023-08-17","09:54:00","493.49000000000007"
"2023-08-17","09:54:15","512.7333333333335"
"2023-08-17","09:54:30","528.6774193548388"
"2023-08-17","09:54:45","538.4274999999999"
"2023-08-17","09:55:00","542.0066666666668"
"2023-08-17","09:55:15","543.0923076923078"
"2023-08-17","09:55:30","543.1371428571431"
"2023-08-17","09:55:45","543.3411764705884"
"2023-08-17","09:56:00","543.3694444444445"
"2023-08-17","09:56:15","539.0783783783784"
"2023-08-17","09:56:30","512.1583333333333"
"2023-08-17","09:56:45","486.2684210526316"
"2023-08-17","09:57:00","513.7333333333332"
"2023-08-17","09:57:15","529.0459459459457"
"2023-08-17","09:57:30","539.663888888889"
"2023-08-17","09:57:45","541.8925000000002"
"2023-08-17","09:58:00","543.1243243243244"
"2023-08-17","09:58:15","543.3049999999998"
"2023-08-17","09:58:30","543.8666666666664"
"2023-08-17","09:58:45","544.2970588235294"
"2023-08-17","09:59:00","541.4863636363635"
"2023-08-17","09:59:15","512.4583333333334"
"2023-08-17","09:59:30","486.9461538461537"
"2023-08-17","09:59:45","511.24999999999994"
"2023-08-17","10:00:00","531.3866666666668"
"2023-08-17","10:00:15","542.2258064516129"
"2023-08-17","10:00:30","543.3235294117644"
"2023-08-17","10:00:45","544.5272727272728"
"2023-08-17","10:01:00","544.7257142857142"
"2023-08-17","10:01:15","545.917142857143"
"2023-08-17","10:01:30","545.9452380952381"
"2023-08-17","10:01:45","540.3727272727272"
"2023-08-17","10:02:00","504.37714285714276"
"2023-08-17","10:02:15","483.38000000000005"
"2023-08-17","10:02:30","519.3666666666666"
"2023-08-17","10:02:45","531.4897435897435"
"2023-08-17","10:03:00","542.0375000000001"
"2023-08-17","10:03:15","543.2945945945946"
"2023-08-17","10:03:30","543.875"
"2023-08-17","10:03:45","544.6723404255321"
"2023-08-17","10:04:00","544.991891891892"
"2023-08-17","10:04:15","545.1023255813952"
"2023-08-17","10:04:30","539.6184210526319"
"2023-08-17","10:04:45","506.92105263157913"
"2023-08-17","10:05:00","489.08571428571435"
"2023-08-17","10:05:15","511.84166666666664"
"2023-08-17","10:05:30","534.3500000000003"
"2023-08-17","10:05:45","542.7425000000001"
"2023-08-17","10:06:00","543.5975000000001"
"2023-08-17","10:06:15","544.2060606060605"
"2023-08-17","10:06:30","544.1794871794871"
"2023-08-17","10:06:45","544.9029411764707"
"2023-08-17","10:07:00","544.7285714285715"
"2023-08-17","10:07:15","530.6536585365856"
"2023-08-17","10:07:30","498.47941176470584"
"2023-08-17","10:08:00","522.1583333333333"
"2023-08-17","10:08:15","540.494736842105"
"2023-08-17","10:08:30","544.4763157894737"
"2023-08-17","10:08:45","545.3694444444442"
"2023-08-17","10:09:00","546.0478260869564"
"2023-08-17","10:09:15","546.3341463414633"
"2023-08-17","10:09:30","546.5292682926829"
"2023-08-17","10:09:45","546.8485714285714"
"2023-08-17","10:10:00","526.6904761904763"
"2023-08-17","10:10:15","495.8666666666667"
"2023-08-17","10:10:30","480.6000000000001"
"2023-08-17","10:10:45","525.462962962963"
"2023-08-17","10:11:00","539.6181818181818"
"2023-08-17","10:11:15","542.9028571428572"
"2023-08-17","10:11:30","544.0162162162163"
"2023-08-17","10:11:45","544.7575757575759"
"2023-08-17","10:12:00","545.5277777777776"
"2023-08-17","10:12:15","545.4135135135135"
"2023-08-17","10:12:30","544.8999999999999"
"2023-08-17","10:12:45","524.1499999999999"
"2023-08-17","10:13:00","491.2607142857143"
"2023-08-17","10:13:30","527.6384615384613"
"2023-08-17","10:13:45","543.741935483871"
"2023-08-17","10:14:00","545.4333333333335"
"2023-08-17","10:14:15","545.5333333333332"
"2023-08-17","10:14:30","546.0193548387099"
"2023-08-17","10:14:45","546.1666666666665"
"2023-08-17","10:15:00","546.255882352941"
"2023-08-17","10:15:15","546.1258064516128"
"2023-08-17","10:15:30","522.2187500000001"
"2023-08-17","10:15:45","493.18499999999995"
"2023-08-17","10:16:00","508.05"
"2023-08-17","10:16:15","530.2342857142856"
"2023-08-17","10:16:30","542.8232558139536"
"2023-08-17","10:16:45","544.1975000000003"
"2023-08-17","10:17:00","544.8644444444445"
"2023-08-17","10:17:15","545.6411764705883"
"2023-08-17","10:17:30","546.2399999999999"
"2023-08-17","10:17:45","545.8432432432435"
"2023-08-17","10:18:00","544.2214285714286"
"2023-08-17","10:18:15","514.4048780487805"
"2023-08-17","10:18:30","489.0625"
