date,time,temperature,mainPressure,containerTempFront,containerTempBack,currentSpeed
2024-11-11,11:00:00,348.54285714285714,137.02857142857144,425,431,2.1999999999999997
2024-11-11,11:00:10,412.9142857142857,136.91428571428574,425,431,2.5
2024-11-11,11:00:20,394.5142857142856,136.79999999999998,425,431,2.9285714285714284
2024-11-11,11:00:30,452.1888888888888,135.23333333333332,425.55555555555554,431,3.388888888888888
2024-11-11,11:00:40,430.34000000000003,130.74,426,431,3.4
2024-11-11,11:00:50,457.51111111111106,127.41111111111111,426,431,3.3999999999999995
2024-11-11,11:01:00,449.64285714285705,123.79999999999998,426,431,3.414285714285714
2024-11-11,11:01:10,486.7166666666667,120.49999999999999,426,431,3.4499999999999997
2024-11-11,11:01:20,435.32000000000005,121.66,426,431,3.3600000000000003
2024-11-11,11:01:40,397.8,27.53333333333333,426,431,0
2024-11-11,11:01:50,409.09999999999997,88.48333333333333,426.3333333333333,431,0.6666666666666666
2024-11-11,11:02:00,404.9857142857143,157.44285714285715,427,431,2.442857142857143
2024-11-11,11:02:10,451.45,156.35999999999999,427,431,3.5
2024-11-11,11:02:20,475.51249999999993,150.60000000000002,427,431,3.975
2024-11-11,11:02:30,503.5,145.6,427,431,4
2024-11-11,11:02:40,492.66,141.22,427,431,4
2024-11-11,11:02:50,476.42857142857144,137.7428571428571,427,431,4
2024-11-11,11:03:00,439.98749999999995,133.8625,427,431,4
2024-11-11,11:03:10,467.675,129.9125,427.75,431,4
2024-11-11,11:03:20,448.72857142857146,126.1285714285714,428,431,4
2024-11-11,11:03:30,484.27142857142866,121.71428571428571,428,431,4
2024-11-11,11:03:40,453.14444444444445,118.53333333333333,428,431,4
2024-11-11,11:03:50,466.71999999999997,116.56000000000002,428,431,3.9599999999999995
2024-11-11,11:04:00,486.85,117.9,428,431,4
2024-11-11,11:04:10,480.15,7,429,431,0
2024-11-11,11:04:20,415.3,43.8,429,431,0
2024-11-11,11:04:30,408.175,10.8,429,431,0.35
2024-11-11,11:04:40,392.70000000000005,147.125,429,431,2.275
2024-11-11,11:04:50,497.6428571428572,162.08571428571432,429,431,3.614285714285714
2024-11-11,11:05:00,400.4166666666667,154.46666666666667,429,431,3.983333333333333
2024-11-11,11:05:10,483.03000000000003,148,429.7,431,4
2024-11-11,11:05:20,456.98,143.48000000000002,430,431,4
2024-11-11,11:05:30,483.30999999999995,139.16,430,431,4
2024-11-11,11:05:40,445.21999999999997,135.66000000000003,430,431,4
2024-11-11,11:05:50,445.85714285714283,131.9714285714286,430,431,4
2024-11-11,11:06:00,446.41111111111115,127.80000000000003,430.22222222222223,431,4
2024-11-11,11:06:10,451.92857142857144,124.14285714285712,431,431,4
2024-11-11,11:06:20,448.62500000000006,120.3625,431,430.75,4
2024-11-11,11:06:30,508.76666666666665,117.03333333333335,431,430,4
2024-11-11,11:06:40,496,94.11999999999999,431,430,3.96
2024-11-11,11:06:50,484.6,7.4,431,430,0
2024-11-11,11:07:00,402.4666666666667,16.96666666666667,431,430,0
2024-11-11,11:07:10,386.82222222222225,20.81111111111111,431.6666666666667,430,0.25555555555555554
2024-11-11,11:07:20,379.0875,135.15,432,430,1.8624999999999998
2024-11-11,11:07:30,448.01666666666665,170.85,432,430,3.466666666666667
2024-11-11,11:07:40,442.16999999999996,161.86999999999998,432,430,3.97
2024-11-11,11:07:50,434.28999999999996,154.17000000000002,432,430,4
2024-11-11,11:08:00,503.2333333333333,148.5,432,430,4
2024-11-11,11:08:10,457.38750000000005,143.9,432,430,4
2024-11-11,11:08:20,434.20000000000005,139.06666666666666,432.8333333333333,430,4
2024-11-11,11:08:30,462.51666666666665,135.56666666666663,433,430,4
2024-11-11,11:08:40,401.63,130.87,433,430,4
2024-11-11,11:08:50,413.5,126.92222222222219,433,430,4
2024-11-11,11:09:00,449.12,122.42,433,430,4
2024-11-11,11:09:10,442.6333333333334,118.83333333333333,433,430,3.983333333333333
2024-11-11,11:09:20,472.32500000000005,118.42500000000001,433,430,3.9
2024-11-11,11:09:40,398.92499999999995,27.675,433,430,0
2024-11-11,11:09:50,415.79999999999995,6.3500000000000005,434,430,0.11666666666666665
2024-11-11,11:10:00,367.5625,110.22500000000001,434,430,1.4875
2024-11-11,11:10:10,411.88888888888886,168.6777777777778,434,430,3.4111111111111114
2024-11-11,11:10:20,451.88571428571424,159.37142857142857,434,430,3.957142857142857
2024-11-11,11:10:30,463.51666666666665,152.1833333333333,434,430,4
2024-11-11,11:10:40,455.74285714285713,147.32857142857142,434,430,4
2024-11-11,11:10:50,465.5857142857143,142.1142857142857,434,430,4
2024-11-11,11:11:00,421.5875,138.27499999999998,434,430,4
2024-11-11,11:11:10,467.76666666666665,134.38333333333333,434,430,4
2024-11-11,11:11:20,482.6,131.16,434,430,4
2024-11-11,11:11:30,427.0125,125.67500000000001,434.5,430,4
2024-11-11,11:11:40,483.1,121.5375,435,430,4
2024-11-11,11:11:50,427.04999999999995,118.175,435,430,4
2024-11-11,11:12:00,469.75714285714287,117.84285714285714,435,430,3.942857142857143
2024-11-11,11:12:20,400.375,34.724999999999994,435,430,0
2024-11-11,11:12:30,403.75,3.9,435,430,0
2024-11-11,11:12:40,384.05,100.3375,435,430,1.35
2024-11-11,11:12:50,385.9,169.47499999999997,435,430,3.1875
2024-11-11,11:13:00,440.6714285714285,161.21428571428572,435,430,3.9
2024-11-11,11:13:10,436.88571428571424,153.59999999999997,435,430,4
2024-11-11,11:13:20,498.65,147.87999999999997,435,430,4
2024-11-11,11:13:30,441.85714285714283,142.94285714285715,435,430,4
